username, promedio, total, mensajes
username,NaN, 0, 0
,NaN, 0, 0
SERVER,NaN, 0, 0
user 1,1047.9, 10, 10479
user 2,512.5, 10, 5125
user 5,496.6, 10, 4966
user 3,515.2, 10, 5152
user 19,36.5, 10, 365
user 13,674.5, 10, 6745
user 6,617, 10, 6170
user 27,707.6, 10, 7076
user 8,312.1, 10, 3121
user 25,862.9, 10, 8629
user 15,1135.7, 10, 11357
user 16,1392.3, 10, 13923
user 14,1904.5, 10, 19045
user 9,1822.7, 10, 18227
user 10,1418.2, 10, 14182
user 24,1743.1, 10, 17431
user 26,1382.6, 10, 13826
user 22,1420.8, 10, 14208
user 23,1224.4, 10, 12244
user 33,1804.2, 10, 18042
user 12,2090.9, 10, 20909
user 11,2087.1, 10, 20871
user 73,1866.9, 10, 18669
user 7,1742.5, 10, 17425
user 34,1551.1, 10, 15511
user 20,1470.2, 10, 14702
user 54,595.2, 10, 5952
user 17,2333.9, 10, 23339
user 49,924.9, 10, 9249
user 31,2050.7, 10, 20507
user 35,2361.6, 10, 23616
user 32,1734.6, 10, 17346
user 48,495.4, 10, 4954
user 59,612.7, 10, 6127
user 30,2285.5, 10, 22855
user 38,2334.9, 10, 23349
user 21,2822.7, 10, 28227
user 46,2236.7, 10, 22367
user 39,1329.8, 10, 13298
user 28,3102.9, 10, 31029
user 29,2811.8, 10, 28118
user 50,1785.3, 10, 17853
user 52,1980.8, 10, 19808
user 36,2163.8, 10, 21638
user 62,1870.1, 10, 18701
user 58,2041.5, 10, 20415
user 47,2217.3, 10, 22173
user 64,1949.8, 10, 19498
user 63,1036.2, 10, 10362
user 68,2174.7, 10, 21747
user 70,1236.9, 10, 12369
user 40,3769.9, 10, 37699
user 56,2554.9, 10, 25549
user 67,2641.1, 10, 26411
user 41,524, 10, 5240
user 37,4427, 10, 44270
user 86,180, 10, 1800
user 53,3384.2, 10, 33842
user 42,3502.5, 10, 35025
user 57,3384.1, 10, 33841
user 72,3388.1, 10, 33881
user 44,3387.7, 10, 33877
user 60,4076.8, 10, 40768
user 45,3950.2, 10, 39502
user 61,4341.5, 10, 43415
user 65,4436.2, 10, 44362
user 85,4237.3, 10, 42373
user 43,4359.3, 10, 43593
user 76,4038.7, 10, 40387
user 87,4182.2, 10, 41822
user 4,9455.5, 10, 94555
user 66,4433.8, 10, 44338
user 69,5014.2, 10, 50142
user 55,4874.8, 10, 48748
user 75,4733.7, 10, 47337
user 51,6627, 10, 66270
user 79,3899.4, 10, 38994
user 80,4003.7, 10, 40037
user 83,4139.4, 10, 41394
user 97,4339.6, 10, 43396
user 95,3777, 10, 37770
user 82,3545.3, 10, 35453
user 71,7332.8, 10, 73328
user 91,4145.7, 10, 41457
user 92,4231.5, 10, 42315
user 98,4304.2, 10, 43042
user 81,4442.1, 10, 44421
user 74,4636.5, 10, 46365
user 84,4645.4, 10, 46454
user 96,4771.6, 10, 47716
user 78,5113.5, 10, 51135
user 89,5279.3, 10, 52793
user 77,5139.9, 10, 51399
user 90,5417, 10, 54170
user 93,5511.4, 10, 55114
user 88,5734.5, 10, 57345
user 94,5941.7, 10, 59417
user 100,4269.3, 10, 42693
user 99,2498.5, 10, 24985
user 18,185.1, 10, 1851
