username, time_to_deliver

SERVER,NaN

antonio 1,207

antonio 1,207

antonio 1,207

antonio 1,207

antonio 1,207

antonio 1,208

antonio 1,208

antonio 1,208

antonio 1,208

antonio 1,208

antonio 1,208

antonio 1,209

antonio 1,209

antonio 1,209

antonio 1,210

antonio 1,210

antonio 1,216

antonio 1,216

antonio 1,216

antonio 1,216

antonio 1,216

antonio 1,217

antonio 1,217

antonio 1,217

antonio 1,217

antonio 1,217

antonio 1,217

antonio 1,217

antonio 1,218

antonio 1,218

antonio 1,218

antonio 1,218

antonio 1,218

antonio 1,219

antonio 1,219

antonio 1,219

antonio 1,219

antonio 1,231

antonio 1,232

antonio 1,232

antonio 1,232

antonio 1,232

antonio 1,233

antonio 1,233

antonio 1,234

antonio 1,234

antonio 1,234

antonio 1,234

antonio 1,235

antonio 1,235

antonio 1,235

antonio 1,235

antonio 1,235

antonio 1,234

antonio 1,234

antonio 1,234

antonio 1,235

antonio 1,235

antonio 1,235

antonio 1,235

antonio 1,236

antonio 1,239

antonio 1,239

antonio 1,239

antonio 1,240

antonio 1,240

antonio 1,241

antonio 1,241
antonio 1,241
antonio 1,241
antonio 1,241

antonio 1,242

antonio 1,242

antonio 1,242

antonio 1,242

antonio 1,316

antonio 1,665

antonio 1,666

antonio 1,667

antonio 1,668

antonio 1,669

antonio 1,669

antonio 1,669

antonio 1,670

antonio 1,671

antonio 1,671

antonio 1,671

antonio 1,671

antonio 1,672

antonio 1,671

antonio 1,671

antonio 1,671

antonio 1,671

antonio 1,672

antonio 1,672

antonio 1,672

antonio 1,672

antonio 1,685

antonio 1,685

antonio 1,686

antonio 1,686

antonio 1,687

antonio 1,688

antonio 1,688

antonio 1,689

antonio 1,689

antonio 1,689

antonio 1,690

antonio 1,690

antonio 1,689

antonio 1,690

antonio 1,690

antonio 1,690
antonio 1,691
antonio 1,691

antonio 1,691
antonio 1,691
antonio 1,690

antonio 1,690
antonio 1,690

antonio 1,691
antonio 1,691
antonio 1,691
antonio 1,694
antonio 1,695
antonio 1,695
